,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Christchurch,-43.5333,172.6333,4.12,89,75,6.69,NZ,1663071964
1,Avarua,-21.2078,-159.775,23.03,83,40,3.09,CK,1663071965
2,Mandalgovi,45.7625,106.2708,22.48,23,100,3.33,MN,1663071967
3,Atuona,-9.8,-139.0333,24.5,67,1,6.4,PF,1663071968
4,Haines Junction,60.7522,-137.5108,-1.03,93,99,1.54,CA,1663071969
5,Tuktoyaktuk,69.4541,-133.0374,1.72,81,95,6.9,CA,1663071971
6,Urucará,-2.5364,-57.76,30.18,51,2,1.27,BR,1663071972
7,Jamestown,42.097,-79.2353,15.4,75,100,2.57,US,1663071973
8,Ilulissat,69.2167,-51.1,8.01,81,75,3.09,GL,1663071974
9,Punta Arenas,-53.15,-70.9167,3.06,81,20,7.2,CL,1663071976
10,Tilichiki,60.4667,166.1,5.48,77,100,0.81,RU,1663071977
11,Mar del Plata,-38.0023,-57.5575,12.75,69,0,1.54,AR,1663071941
12,Mahébourg,-20.4081,57.7,23.47,73,75,5.66,MU,1663071979
13,Jatibonico,21.9419,-79.17,24.45,92,76,1.45,CU,1663071981
14,Puerto Quijarro,-17.7833,-57.7667,26.53,40,86,2.33,BO,1663071982
15,Geraldton,-28.7667,114.6,16.23,72,100,5.14,AU,1663071983
16,Alice Springs,-23.7,133.8833,21.75,37,0,3.09,AU,1663071985
17,Leningradskiy,69.3833,178.4167,2.12,97,99,1.05,RU,1663071986
18,Kavaratti,10.5669,72.642,27.29,81,52,5.98,IN,1663071987
19,Wąbrzeźno,53.2799,18.9477,18.83,62,100,4.04,PL,1663071989
20,Upernavik,72.7868,-56.1549,4.9,95,100,1.72,GL,1663071990
21,San Patricio,28.017,-97.5169,27.69,78,5,1.75,US,1663071991
22,Ancud,-41.8697,-73.8203,10.13,88,83,2.88,CL,1663071993
23,Narsaq,60.9167,-46.05,6.12,47,1,1.23,GL,1663071994
24,Cabo San Lucas,22.8909,-109.9124,27.51,77,0,4.12,MX,1663071995
25,Hobart,-42.8794,147.3294,5.92,90,75,1.54,AU,1663071976
26,Paraíso,9.8383,-83.8656,18.48,90,100,0.34,CR,1663071999
27,Albany,42.6001,-73.9662,20.7,95,100,0.23,US,1663071901
28,Kahului,20.8947,-156.47,26.02,77,40,5.14,US,1663072001
29,Fasa,28.9383,53.6482,35.58,11,20,4.12,IR,1663072002
30,Rikitea,-23.1203,-134.9692,22.12,72,90,0.41,PF,1663072003
31,Arraial do Cabo,-22.9661,-42.0278,22.98,83,20,6.17,BR,1663072005
32,Erzin,36.9559,36.2,28.84,58,16,5.84,TR,1663072006
33,Huilong,31.8111,121.655,23.85,90,100,9.27,CN,1663072007
34,Puerto Ayora,-0.7393,-90.3518,17.53,100,96,0.89,EC,1663072009
35,Busselton,-33.65,115.3333,12.2,54,80,7.82,AU,1663072011
36,Nemuro,43.3236,145.575,18.37,95,72,4.24,JP,1663072012
37,Cherskiy,68.75,161.3,2.54,98,100,2.68,RU,1663072013
38,Constitución,-35.3333,-72.4167,8.43,85,4,1.64,CL,1663071759
39,Bambous Virieux,-20.3428,57.7575,23.45,73,75,5.66,MU,1663072016
40,Mataura,-46.1927,168.8643,0.03,98,95,1.51,NZ,1663072017
41,Qaanaaq,77.484,-69.3632,1.85,79,100,1.81,GL,1663072018
42,Buala,-8.145,159.5921,26.65,79,29,2.45,SB,1663072019
43,Tubualá,9.5167,-79.0333,25.41,88,96,3.21,PA,1663072021
44,Naryan-Mar,67.6713,53.087,7.58,91,100,4.72,RU,1663072022
45,Safaga,26.7292,33.9365,33.82,42,0,5.89,EG,1663072023
46,Bluff,-46.6,168.3333,5.69,73,93,5.45,NZ,1663072025
47,Torbay,47.6666,-52.7314,14.59,97,100,8.75,CA,1663072027
48,Kruisfontein,-34.0033,24.7314,19.94,48,7,6.55,ZA,1663072029
49,Angoche,-16.2325,39.9086,27.79,53,2,4.87,MZ,1663072030
50,Cape Town,-33.9258,18.4232,21.32,62,0,7.2,ZA,1663072032
51,Brenham,30.1669,-96.3977,20.95,66,40,0.0,US,1663072033
52,Longyearbyen,78.2186,15.6401,1.91,80,75,2.06,SJ,1663071759
53,Tasiilaq,65.6145,-37.6368,3.09,87,33,2.09,GL,1663072036
54,Bonito,-21.1211,-56.4819,19.58,80,94,1.61,BR,1663071904
55,Olafsvik,64.8945,-23.7142,9.38,78,84,3.01,IS,1663072038
56,Harrisburg,40.2737,-76.8844,21.08,81,75,3.09,US,1663071953
57,Margate,51.3813,1.3862,19.39,85,100,2.24,GB,1663072041
58,Iqaluit,63.7506,-68.5145,5.85,86,75,3.09,CA,1663072043
59,Pisco,-13.7,-76.2167,15.03,77,40,1.03,PE,1663072044
60,Manoel Urbano,-8.8389,-69.2597,24.56,83,55,1.28,BR,1663072045
61,Bubaque,11.2833,-15.8333,26.94,80,96,5.92,GW,1663072048
62,Ghanzi,-21.5667,21.7833,31.48,10,0,4.66,BW,1663072050
63,Alofi,-19.0595,-169.9187,22.94,94,8,2.06,NU,1663072052
64,Pandan,14.0453,124.1694,27.41,83,94,2.84,PH,1663072053
65,Mayumba,-3.432,10.6554,25.12,69,99,2.75,GA,1663072054
66,Ust-Tsilma,65.441,52.1498,8.91,89,99,2.27,RU,1663072056
67,George Town,5.4112,100.3354,29.38,80,40,2.06,MY,1663071887
68,La Gomera,14.0833,-91.05,22.84,92,98,1.96,GT,1663072058
69,Dandong,40.1292,124.3947,21.59,78,88,1.82,CN,1663072059
70,Hilo,19.7297,-155.09,25.16,91,100,2.57,US,1663072062
